codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
4,45602,PPGXE,241,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660.0,2.0,1962.0,BRASIL,PRI,INSTRUÇÃO,SDPW,SDPW,INDETERMINADA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-22.7117218,-47.61808337262139,-22.7117218,-47.61808337262139
40,53551,PPGSZ,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660.0,2.0,1960.0,BRASIL,PRI,INSTRUÇÃO,SBBP,SBBP,DECOLAGEM,INSTRUÇÃO,LEVE,,2016-07-30,52.161599,4.4966571,52.161599,4.4966571
130,35556,PTEQI,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,1.0,1633.0,6.0,1979.0,BRASIL,TPP,PARTICULAR,SNDU,SBSL,CORRIDA APÓS POUSO,PRIVADA,LEVE,,2016-07-30,13.4853511,39.4735435,-2.58899115,-44.23940764493366
206,38376,PTKDW,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338.0,4.0,1974.0,BRASIL,TPP,PARTICULAR,SJCY,SIBX,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-15.681573400000001,-55.95523379555705,-21.0962196,-50.2432262
213,50332,PTNOE,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1977.0,BRASIL,TPP,PARTICULAR,SSCT,SBMG,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.692075850000002,-52.64238296065088,-23.4761138,-52.014684538049366
221,51531,PTIZV,283,AVIÃO,PIPER AIRCRAFT,PA-28-140,PISTÃO,1.0,884.0,2.0,1973.0,BRASIL,PRI,INSTRUÇÃO,SBMT,SBMT,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.50990145,-46.63844142922537,-23.50990145,-46.63844142922537
267,53433,PTIKF,3992,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1179.0,4.0,1973.0,BRASIL,TPP,PARTICULAR,SSXO,SSXO,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.28990925,-52.13181125076649,-23.28990925,-52.13181125076649
294,43628,PTEHG,49,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175.0,10.0,1976.0,BRASIL,TPX,TÁXI AÉREO,SBSV,SDLO,POUSO,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-12.91102045,-38.3349721784498,,
301,53325,PPGKX,231,AVIÃO,PIPER AIRCRAFT,PA-18,PISTÃO,1.0,680.0,2.0,1951.0,BRASIL,PRI,INSTRUÇÃO,SSNH,SSNH,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-29.6974207,-51.08226353509167,-29.6974207,-51.08226353509167
337,45089,PTLJJ,3992,AVIÃO,CESSNA AIRCRAFT,550,JATO,2.0,6033.0,10.0,1981.0,BRASIL,TPP,PARTICULAR,SBBH,SNJM,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-19.8491253,-43.9645521,49.4420546,-96.98699616497129
352,31129,PTKAA,1289,AVIÃO,PIPER AIRCRAFT,PA-28-140,PISTÃO,1.0,975.0,4.0,1974.0,BRASIL,PRI,INSTRUÇÃO,SBSV,SNVR,DECOLAGEM,INSTRUÇÃO,DESTRUÍDA,2.0,2016-07-30,-12.91102045,-38.3349721784498,19.8837511,74.5605457
445,43725,PTPKD,161,PLANADOR,INDÚSTRIA PARANAENSE DE ESTRUTURAS,KW1,SEM TRAÇÃO,0.0,280.0,1.0,1983.0,BRASIL,PRI,INSTRUÇÃO,SWFR,SWFR,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,33.80145645,35.689833973495844,33.80145645,35.689833973495844
505,29620,PTAOT,3992,AVIÃO,CESSNA AIRCRAFT,182M,PISTÃO,1.0,1271.0,4.0,1969.0,BRASIL,TPP,PARTICULAR,SWCW,SWFR,INDETERMINADA,PRIVADA,LEVE,,2016-07-30,,,33.80145645,35.689833973495844
540,32377,PTOCV,4365,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670.0,21.0,1981.0,BRASIL,TPR,REGULAR,SBEG,SWCA,CORRIDA APÓS POUSO,REGULAR,DESTRUÍDA,,2016-07-30,-3.03553825,-60.04575303314657,-4.87146245,-66.89752105783637
566,40855,PTEUJ,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073.0,7.0,1979.0,BRASIL,TPX,TÁXI AÉREO,SWFN,SWMW,SUBIDA,TÁXI AÉREO,DESTRUÍDA,6.0,2016-07-30,-3.0728082,-60.021215104009556,-3.3699246499999997,-57.724955102848156
